case_id,case_ref,occurred_at,severity,team_number,event_type,summary,details,services,hosts,owners,tags
EVENT-0033,CASE-0018,Thu Mar 19 2026 17:56:12 GMT+0100 (Central European Standard Time),Low,1,Action,Linux WS 5 blocked from Network,NFT rule stoppig all traffic from WS5,,Linux Workstation 5,STA,breach; compromised
EVENT-0032,CASE-0016,Thu Mar 19 2026 17:55:25 GMT+0100 (Central European Standard Time),Low,1,Action,Reverse Shell disabled,Service behind it removed and system rebooted,,Webserver,WLA,clean; online; remediated; restored
EVENT-0031,CASE-0018,Thu Mar 19 2026 17:54:31 GMT+0100 (Central European Standard Time),High,1,Finding/ Evidence,Linux WS 5 not reachable,SSH connection not working,,Linux Workstation 5,,breach; compromised
EVENT-0030,CASE-0017,Thu Mar 19 2026 17:47:00 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Linux Systems not down - network issues,,,Linux Workstation 1; Linux Workstation 2; Linux Workstation 3; Linux Workstation 4; Linux Workstation 5,,clean; online; remediated; restored
EVENT-0029,CASE-0017,Thu Mar 19 2026 17:44:35 GMT+0100 (Central European Standard Time),Critical,1,Finding/ Evidence,Linux Systems down,"Could be network, no ping response 
No proof of malicious intervention",,Linux Workstation 1; Linux Workstation 2; Linux Workstation 3; Linux Workstation 4; Linux Workstation 5,,offline; out
EVENT-0028,CASE-0016,Thu Mar 19 2026 17:38:37 GMT+0100 (Central European Standard Time),High,1,Finding/ Evidence,Reverse shell detected,"Killing reverse shell has no effect - immediately comes back
Unable to reconnect to Webserver - could be network or reverse shell issue (possible: network issues all generated by reverse shell)",,Webserver,WLA,breach; compromised
EVENT-0027,CASE-0014,Thu Mar 19 2026 17:27:40 GMT+0100 (Central European Standard Time),Critical,1,Finding/ Evidence,Access to workstation lost,Login credentials were changed - malicious intervention,,Win Workstation 3,PLO,breach; compromised; offline; out
EVENT-0026,CASE-0014,Thu Mar 19 2026 17:02:53 GMT+0100 (Central European Standard Time),Low,1,Action,Infected host isolated,Host isolated from network,,Win Workstation 3,STA,compromised
EVENT-0025,CASE-0014,Thu Mar 19 2026 17:01:42 GMT+0100 (Central European Standard Time),Medium,1,Finding/ Evidence,EXE or DLL download detected,Could be malicious,,Win Workstation 3,STA,breach; compromised
EVENT-0024,CASE-0013,Thu Mar 19 2026 16:55:14 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Machine back,"Powershell access working
Conclusion: network issues",,Win Workstation 3,WAL,clean; online; remediated; restored
EVENT-0023,CASE-0013,Thu Mar 19 2026 16:54:27 GMT+0100 (Central European Standard Time),High,1,Finding/ Evidence,No ping response,"Machine could be down, or slow connection
Further investigation needed",,Win Workstation 3,WAL,offline; out
EVENT-0022,CASE-0012,Thu Mar 19 2026 10:31:33 GMT+0100 (Central European Standard Time),Low,2,Finding/ Evidence,Confirmed Technical issues,"The incident was not a dos attack, just technical issues",,All hosts,,
EVENT-0021,CASE-0010,Thu Mar 19 2026 10:09:28 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Up again,,,Linux Workstation 1,,online; restored
EVENT-0020,CASE-0012,Thu Mar 19 2026 10:07:22 GMT+0100 (Central European Standard Time),High,2,Finding/ Evidence,Not able to connect to any Win/Linux client,"System worked very slowly before, now we are not able to connect to any host",,All hosts,ZSO,
EVENT-0019,CASE-0012,Thu Mar 19 2026 10:04:25 GMT+0100 (Central European Standard Time),Medium,2,Finding/ Evidence,Network very slow probably DOS attack,All Clients/Servers are working very slowly and its not a network issue from our side,,All Hosts in our network,ZSO,ddos; dos
EVENT-0018,CASE-0011,Thu Mar 19 2026 10:00:04 GMT+0100 (Central European Standard Time),Low,2,Finding/ Evidence,RDP-UDP dummy packets received,"From IP 172.16.102.49
Potential DoS attack",,Win Workstation 2,HEI,
EVENT-0017,CASE-0010,Thu Mar 19 2026 09:35:25 GMT+0100 (Central European Standard Time),High,1,Finding/ Evidence,10.1.1.51 linux workstation is compleetly down,unable to ping or ssh in to linux 10.1.1.51,machine,Linux Workstation 1,,offline; out
EVENT-0016,CASE-0008,Thu Mar 19 2026 09:49:20 GMT+0100 (Central European Standard Time),Medium,2,Finding/ Evidence,NMAP Scan Detected,Webserver is being targeted by port and nmap scans,HTTP,Webserver,STA,
EVENT-0015,CASE-0009,Thu Mar 19 2026 09:41:24 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,TCP connections closed,No further action needed,TCP,Win Workstation 5,PLO,
EVENT-0014,CASE-0009,Thu Mar 19 2026 09:37:14 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,New TCP connection established,Further investigation starting,TCP,Win Workstation 5,PAM,
EVENT-0013,CASE-0008,Thu Mar 19 2026 09:34:55 GMT+0100 (Central European Standard Time),Medium,2,Action,Suspicious IP-Range blocked,"Binary execution file downloaded onto hosts and webserver
source IP: 194.36.32.207
Action: IP range blocked",HTTP,Webserver; Win Workstation 2,STA,
EVENT-0012,CASE-0002,Thu Mar 19 2026 09:29:18 GMT+0100 (Central European Standard Time),Low,1,Action,Inbound Rules disabled,Closed,,Win Workstation 3,PLO,
EVENT-0011,CASE-0008,Thu Mar 19 2026 09:23:01 GMT+0100 (Central European Standard Time),High,2,Finding/ Evidence,Binary Executiable,"Binary Executable on wsc102
Executable Download
Attacker IP.: 194.36.32.207",machine,Win Workstation 2,HEI,clean; compromised; remediated
EVENT-0010,CASE-0006,Thu Mar 19 2026 09:07:07 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Nothing malicious found - closed,,,Win Workstation 1,FUE,
EVENT-0009,CASE-0006,Thu Mar 19 2026 09:01:21 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Suspicious amount of https connections found,Investigation into severity and further action running,,Win Workstation 1,FUE,
EVENT-0008,CASE-0005,Thu Mar 19 2026 09:00:40 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Test Case: Machine up and running again,fghj,,Linux Workstation 1,WEI,clean; online; remediated; restored
EVENT-0007,CASE-0005,Thu Mar 19 2026 08:59:51 GMT+0100 (Central European Standard Time),Critical,1,Finding/ Evidence,Test: Machine Down,fghj,,Linux Workstation 1,WEI,breach; compromised; offline; out
EVENT-0006,CASE-0005,Thu Mar 19 2026 08:54:07 GMT+0100 (Central European Standard Time),Critical,1,Finding/ Evidence,Test Case: Machine compromised,fgbnm,,Linux Workstation 1,WEI,breach; compromised
EVENT-0005,CASE-0004,Thu Mar 19 2026 08:45:48 GMT+0100 (Central European Standard Time),Low,2,Note,Executed Linux hardening script on .53,Executed hardning script successfully,,,ZSO,
EVENT-0004,CASE-0003,Thu Mar 19 2026 08:43:11 GMT+0100 (Central European Standard Time),Low,2,Note,SSH keys added and passwd,Added public keys to authorized_keys file and changed default credentials,Firewall,firewall-2,STA,clean
EVENT-0003,CASE-0002,Thu Mar 19 2026 08:49:42 GMT+0100 (Central European Standard Time),Low,1,Finding/ Evidence,Suspicious inbound rules found on Win FW,"Workplace / School Account & Your account
--> Will be disabled",WinFW,Win103,PLO,
